"","campus_building","worksite","report_date","location","potential_exposure_dates","start","end","standardized_exposure_dates","geometry"
"2265","Thurman Lab","Thurman Lab","01-05","Davis Campus","12-26
 - 12-30",2021-12-26,2021-12-30,2021-01-05,list()
"2271","Toomey Field","Toomey Field","01-13","Davis campus","01-09
 - 01-12",2021-01-09,2021-01-12,2021-01-13,list()
"2272","Toomey Field","Toomey Field","01-13","Davis campus","01-10
 - 01-12",2021-01-10,2021-01-12,2021-01-13,list()
"2276","Toomey Field","Toomey Field","02-03","Davis campus","01-28
 - 01-29",2021-01-28,2021-01-29,2021-02-03,list()
"2298","Toomey Weight Room Field","Toomey Weight Room Field","02-09","Davis campus","02-06
 - 02-08",2021-02-06,2021-02-08,2021-02-09,list()
"2299","Transportation and Parking Services","Transportation and Parking Services","02-17","Davis campus","02-11
 - 02-12",2021-02-11,2021-02-12,2021-02-17,list()
"2300","Tulare Lab","Tulare Lab","01-12","Off campus","01-03
 - 01-05",2021-01-03,2021-01-05,2021-01-12,list()
"2337","UC Davis California National Primate Research","UC Davis California National Primate Research","04-01","Davis campus","03-29
 - 03-31",2021-03-29,2021-03-31,2021-04-01,list()
"2338","UC Davis California National Primate Research Cen","UC Davis California National Primate Research Cen","02-25","Davis campus","02-20
 - 02-24",2021-02-20,2021-02-24,2021-02-25,list()
"2370","Vegetable Crops Headquarters","Vegetable Crops Headquarters","01-19","Davis campus","01-12
 - 01-14",2021-01-12,2021-01-14,2021-01-19,list()
"2371","Vet Med 2","Vet Med 2","02-19","Davis campus","02-15
 - 02-18",2021-02-15,2021-02-18,2021-02-19,list()
"2372","Vet Med 2","Vet Med 2","07-13","Davis campus","07-05
 - 07-06",2021-07-05,2021-07-06,2021-07-13,list()
"2416","Vet Med Admin Center","Vet Med Admin Center","01-25","Davis campus","01-18
 - 01-20",2021-01-18,2021-01-20,2021-01-25,list()
"2417","Vet Med Admin Center","Vet Med Admin Center","01-06","Davis campus","01-01
 - 01-05",2021-01-01,2021-01-05,2021-01-06,list()
"2418","Vet Med Admin Center","Vet Med Admin Center","01-06","Davis Campus","01-01
 - 01-05",2021-01-01,2021-01-05,2021-01-06,list()
"2425","Vet Med Teaching Hospital Small Animal Clinic","Vet Med Teaching Hospital Small Animal Clinic","02-01","Davis campus","01-25
 - 01-29",2021-01-25,2021-01-29,2021-02-01,list()
"2426","VMTH B Barn","VMTH B Barn","07-13","Davis campus","07-05
 - 07-06",2021-07-05,2021-07-06,2021-07-13,list()
"2427","Voorhies Hal","Voorhies Hal","04-01","Davis campus","03-29
 - 03-31",2021-03-29,2021-03-31,2021-04-01,list()
"2429","Waste Water Treatment Plant","Waste Water Treatment Plant","08-11","Davis campus","08-08
 - 08-10",2021-08-08,2021-08-10,2021-08-11,list()
"2430","Wastewater Treatment Plant","Wastewater Treatment Plant","01-14","Davis campus","01-09
 - 01-12",2021-01-09,2021-01-12,2021-01-14,list()
"2431","Wastewater Treatment Plant","Wastewater Treatment Plant","03-10","Davis campus","03-04
 - 03-05",2021-03-04,2021-03-05,2021-03-10,list()
"2434","Wastewater Treatment Plant Admin Bldg 2","Wastewater Treatment Plant Admin Bldg 2","07-30","Davis campus","07-27
 - 07-30",2021-07-27,2021-07-30,2021-07-30,list()
"2435","Wastewater Treatment Plant Administration Building","Wastewater Treatment Plant Administration Building","02-10","Davis campus","02-06
 - 02-08",2021-02-06,2021-02-08,2021-02-10,list()
"2436","Watershed Sciences Building","Watershed Sciences Building","08-11","Davis campus","08-08
 - 08-10",2021-08-08,2021-08-10,2021-08-11,list()
